value,type,occurrence
mid,IDENTIFICADOR,"[(19, 9), (20, 5), (22, 24), (25, 28), (33, 16)]"
/,OPERADOR_ARITMETICO,"[(20, 15)]"
left_arr,IDENTIFICADOR,"[(21, 9), (22, 5), (35, 13)]"
right_arr,IDENTIFICADOR,"[(23, 9), (26, 5), (39, 13)]"
rightArraySize,IDENTIFICADOR,"[(24, 9), (25, 5), (26, 25)]"
-,OPERADOR_ARITMETICO,"[(25, 26), (63, 26), (65, 23), (68, 31), (69, 24), (92, 21)]"
k,IDENTIFICADOR,"[(27, 9), (28, 5), (39, 23), (40, 13), (40, 17)]"
i,IDENTIFICADOR,"[(29, 9), (31, 9), (31, 16), (31, 25), (31, 29), (33, 12), (35, 22), (35, 33), (39, 34), (58, 9), (61, 9), (61, 16), (61, 23), (61, 27), (63, 27), (96, 13), (97, 9), (104, 30), (105, 23), (107, 17), (107, 21), (109, 26), (110, 19), (112, 18)]"
for,PALAVRA_RESERVADA,"[(31, 5), (61, 5), (63, 9), (100, 9)]"
+,OPERADOR_ARITMETICO,"[(31, 31), (40, 19), (61, 29), (63, 37), (90, 21), (100, 38), (107, 23)]"
else,PALAVRA_RESERVADA,"[(37, 9)]"
bubble_sort,IDENTIFICADOR,"[(45, 5)]"
n,IDENTIFICADOR,"[(54, 9), (55, 5), (61, 20), (63, 25)]"
temp,IDENTIFICADOR,"[(56, 9), (57, 5), (68, 17), (70, 28), (99, 13), (104, 17), (106, 28), (109, 13), (111, 27)]"
j,IDENTIFICADOR,"[(59, 9), (63, 13), (63, 20), (63, 31), (63, 35), (65, 22), (65, 35), (68, 30), (69, 23), (69, 36), (70, 23), (98, 13), (100, 13), (100, 22), (100, 32), (100, 36), (102, 23), (105, 34), (106, 23)]"
>,OPERADOR_COMPARACAO,"[(65, 27)]"
sort_from_partition,IDENTIFICADOR,"[(77, 5), (116, 31), (118, 31)]"
",",VIRGULA,"[(77, 34), (77, 43), (116, 56), (116, 61), (118, 56), (118, 64)]"
low,IDENTIFICADOR,"[(77, 40), (85, 9), (97, 13), (100, 17), (116, 58)]"
high,IDENTIFICADOR,"[(77, 49), (85, 15), (95, 23), (100, 26), (110, 30), (111, 19), (118, 66)]"
pi,IDENTIFICADOR,"[(88, 13), (90, 18), (92, 18), (112, 13)]"
piPlus,IDENTIFICADOR,"[(89, 13), (90, 9), (118, 58)]"
piLess,IDENTIFICADOR,"[(91, 13), (92, 9), (116, 63)]"
pivot,IDENTIFICADOR,"[(94, 13), (95, 9), (102, 28)]"
recursiveSort1,IDENTIFICADOR,"[(115, 13), (116, 9)]"
call,IDENTIFICADOR,"[(116, 26), (118, 26)]"
recursiveSort2,IDENTIFICADOR,"[(117, 13), (118, 9)]"
